FLD_MATCODIGO;FLD_MATNOMBRE;TIPO;FECHA;MMP;StockSeguridad;PtoReorden;StockMaximo;StockMinimo;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/01/2012 0:00:00.000;18414,20;446,86;24958,43;43372,63;18414,20;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/01/2012 0:00:00.000;107390,93;3156,30;142675,00;250065,93;107390,93;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/01/2012 0:00:00.000;17626,50;706,07;25887,02;43513,52;17626,50;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/01/2012 0:00:00.000;13715;280,23;18551,26;32266,26;13715;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/01/2012 0:00:00.000;14911,33;442,38;20037,71;34949,04;14911,33;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/01/2012 0:00:00.000;15278,57;273,54;20346,79;35625,36;15278,57;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/01/2012 0:00:00.000;30450;610,00;40617,60;71067,60;30450;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/01/2012 0:00:00.000;19358,67;666,77;25647,95;45006,62;19358,67;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/01/2012 0:00:00.000;59696,80;2015,40;81099,63;140796,43;59696,80;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/01/2012 0:00:00.000;52462,33;1606,01;68703,80;121166,13;52462,33;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/01/2012 0:00:00.000;20796,13;840,09;27134,15;47930,28;20796,13;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/01/2012 0:00:00.000;25763,67;1495,87;35568,18;61331,84;25763,67;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/01/2012 0:00:00.000;22499,60;190,01;29967,96;52467,56;22499,60;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/01/2012 0:00:00.000;29367;1291,99;39130,67;68497,67;29367;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/01/2012 0:00:00.000;21080;178,27;27971,93;49051,93;21080;   
